Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
00:00,AR1,Huracan,Banfield,1X,53,24,23, , , ,50,50, , ,
00:00,AR1,Huracan,Banfield,1X,53,24,23, , , ,50,50, , ,1 - 1
00:00,CL,Audax Italiano,Universidad Chile,X1,45,26,30,3.05,3.40,2.04,50,50,1.98,1.76,2 - 3
01:00,MX2,Mineros de Zacatecas,Potros UAEM,1,72,18,10,1.52,3.70,5.10,46,54,1.90,1.80,1 - 0
01:00,AR1,Huracán,Banfield,1X,40,29,31,2.94,3.57,2.25,63,37,1.44,2.70,1 - 1
01:15,AR1,Belgrano,Racing Club,X2,27,24,49,3.30,3.35,2.42,46,54,1.79,2.16,2 - 2
02:00,MX2,Mineros de Zacatecas,UAEM Potros,1,72,18,10, , , ,46,54, , ,1 - 0
02:00,MX2,Atlante,Murcielagos FC,X2,29,32,38,1.52,4.30,7.60,72,28,1.83,2.10,3 - 0
02:00,MX1,Monarcas Morelia,CD Guadalajara,X1,41,25,34,2.42,3.30,3.20,46,54,1.90,2.06,1 - 2
03:00,MLS,Toronto,Real Salt Lake,1X,44,28,28,1.48,4.65,7.48,59,41,2.38,1.63,3 - 1
03:15,AR1,Belgrano,Racing Club,X2,27,24,49,3.35,3.38,2.33,46,54,1.78,2.14,2 - 2
03:30,MX2,Venados FC,Cimarrones,1X,53,26,21,2.18,3.25,3.80,59,41,1.77,2.18,2 - 0
04:00,MX1,Atlas,Santos,X2,31,29,40,3.40,3.35,2.36,63,37,1.74,2.22,3 - 2
04:00,MX2,Atlante,Murciélagos,X2,33,34,33,1.43,4.40,7.37,77,23,1.74,2.09,3 - 0
04:00,MX1,Morelia,Guadalajara,X1,41,25,34,2.48,3.36,3.09,46,54,1.92,1.98,1 - 2
05:30,MX2,Venados,Cimarrones de Sonora,1X,53,26,21,2.11,3.06,3.56,59,41,1.57,2.35,2 - 0
06:00,MX1,Atlas,Santos Laguna,X2,31,29,40,3.92,3.48,2.07,63,37,1.85,2.05,3 - 2
07:35,A1,Brisbane Roar FC,Central Coast Mariners,2X,26,30,44,1.65,4.40,5.50,68,32,2.32,1.67,1 - 0
08:00,RU2,Luch Vladivostok,Baltika,1,62,24,15,2.50,2.95,2.50,59,41,1.35,2.95,0 - 0
09:35,A1,Brisbane Roar,Central Coast Mariners,2X,26,30,44,1.57,4.25,5.60,68,32,2.38,1.58,1 - 0
09:50,A1,Melbourne Victory,Western Sydney,1X,53,20,27,1.69,4.30,5.20,24,76,2.64,1.55,3 - 1
10:30,RU1,Amkar,Lokomotiv Moscow,2X,21,26,53, , , ,59,41, , ,2 - 1
11:00,EST1,Paide Linnameeskond,Kalju Nomme,2X,36,21,43, , , ,26,74, , ,1 - 4
11:00,EST1,Parnu JK Vaprus,Tulevik Viljandi,X2,33,34,33, , , ,77,23, , ,1 - 1
11:30,ITA,Bologna,Roma,X2,32,23,46,6.60,4.60,1.57,35,65,2.36,1.72,1 - 1
11:50,A1,Melbourne Victory,Western Sydney Wanderers,1X,63,19,18,1.70,4.10,4.60,32,68,2.65,1.48,3 - 1
12:00,GE2,Dynamo Dresden,Nuernberg,1,65,22,13,2.66,3.45,2.92,54,46,1.96,2.02,1 - 1
12:00,GE2,Duisburg,Kaiserslautern,1X,46,21,33,2.10,3.70,3.85,29,71,2.04,1.94,1 - 4
12:00,GE2,FC Heidenheim,Ingolstadt,1,66,18,16,3.85,3.60,2.12,29,71,1.96,2.02,1 - 2
