Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
01:00,MLS,Atlanta United,New York City,1,69,15,15, , , ,16,84, , ,2 - 2
01:00,BRC,Náutico,Santa Cruz,2X,7,28,65,1.90,3.00,4.00,79,21,1.58,2.20,1 - 1
01:00,BRC,Cuiabá,Luverdense,X2,33,34,33,2.25,3.10,3.00,77,23,1.58,2.20,1 - 0
01:00,BRA,Atlético PR,Chapecoense,X1,45,24,31,2.09,3.28,4.12,42,58,1.58,2.46,5 - 1
02:00,AR1,Independiente,Boca Juniors,X1,37,37,27,2.95,2.90,2.45,81,19,1.54,2.40,1 - 0
02:00,MX1,Veracruz,León,1X,42,34,24,2.42,3.54,3.03,77,23,1.95,1.95,1 - 2
02:00,CL,Audax Italiano,San Luis,1X,53,29,19, , , ,68,32, , ,1 - 1
03:00,MX2,Alebrijes de Oaxaca,Atlético Zacatepec,1X,44,28,28,2.20,3.20,3.10,59,41,1.60,2.29,1 - 0
18:00,PR2,Porto II,Sporting CP II,1X,53,26,21,1.85,3.50,3.65,59,41,1.96,1.75,0 - 2
18:00,TR1,Adanaspor,Boluspor,2X,22,22,57,3.12,3.43,2.36,39,61,1.80,1.90,2 - 3
18:00,RO1,ACS Poli Timişoara,Botoşani,1X,53,32,16,2.11,3.25,4.02,77,23,1.51,2.59,0 - 1
19:00,PL,Wisła Płock,Wisła Kraków,X1,53,23,24,2.20,3.20,3.39,42,58,1.83,2.02,2 - 2
19:00,RU2,Khimki,Spartak Moskva II,1X,48,31,21,1.92,3.15,3.35,72,28,1.74,1.97,1 - 0
19:30,GR1,Olympiakos Piraeus,Kerkyra,1,67,25,8,1.19,7.22,14.68,72,28,2.71,1.44,5 - 1
20:00,DN1,Hobro,Silkeborg,2X,21,31,48,2.00,3.68,3.87,72,28,1.93,1.89,1 - 0
20:00,TR,Osmanlıspor,Trabzonspor,2X,21,26,53,2.74,3.29,2.77,59,41,2.00,1.80,3 - 3
20:00,NO1,Bodø / Glimt,Rosenborg,X1,45,24,31,4.76,3.99,1.75,42,58,2.15,1.71,0 - 1
20:00,SW1,Hammarby,Brommapojkarna,1,57,24,19,1.58,4.33,5.94,54,46,2.08,1.75,4 - 0
20:00,SW2,Varberg,Jönköpings Södra,1X,53,26,21,3.17,3.31,2.43,59,41,1.73,2.10,2 - 1
20:00,SW2,Halmstad,Norrby,2X,29,22,49,1.66,4.21,5.26,32,68,2.23,1.66,0 - 2
20:45,RO1,Astra,FCSB,1X,53,22,25,5.30,3.55,1.66,35,65,1.66,2.23,0 - 3
21:00,IL1,Beitar Jerusalem,Maccabi Tel Aviv,1,66,18,16,2.43,3.35,3.07,29,71,1.95,1.91,3 - 2
21:00,NT2,Jong Ajax,NEC,X2,35,23,42,2.54,3.79,2.45,39,61,2.50,1.50,1 - 0
21:30,ITB,Ascoli,Parma,X1,41,25,34,3.64,3.15,2.28,46,54,1.70,2.08,0 - 1
21:30,GE1,Mainz 05,Freiburg,X2,27,37,37,2.34,3.22,3.47,81,19,1.64,2.28,2 - 0
21:45,FR2,Brest,Lorient,X2,30,26,45,2.60,3.15,2.70,50,50,1.85,1.90,3 - 0
22:00,EGP,West Ham United,Stoke City,1,67,25,8,2.04,3.48,4.12,72,28,1.72,2.07,1 - 1
22:00,PR1,Rio Ave,Tondela,1,76,17,7,1.75,3.35,5.00,50,50,1.85,1.90,1 - 1
22:00,SP2,Huesca,Barcelona II,X2,30,26,45,1.70,3.55,5.00,50,50,1.74,2.02,2 - 1
