Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
00:00,MLS,Seattle Sounders,Real Salt Lake,1X,53,29,19,1.47,4.35,6.25,68,32,2.08,1.74,0 - 1
00:30,MLS,Vancouver Whitecaps,New England,X2,31,24,45,1.95,3.80,3.45,42,58,2.18,1.68,3 - 3
00:30,CL,O'Higgins,Deportes Iquique,X2,39,23,39,2.00,3.40,3.20,35,65,2.07,1.71,2 - 1
01:00,BRA,Palmeiras,Sport Recife,1,68,19,13,1.32,4.40,9.00,42,58,1.96,1.80,2 - 3
01:00,BRC,Atlético Acreano,Botafogo PB,1X,63,19,18,2.00,3.20,3.50,32,68,1.93,1.88,1 - 0
02:00,MLS,New York RB,Philadelphia Union,1,79,13,7,1.47,4.30,6.25,35,65,2.33,1.61,0 - 0
02:00,BRC,ABC,Remo,1X,53,26,21,1.81,3.24,4.59,59,41,1.61,2.25,2 - 1
02:00,BRC,Salgueiro,Juazeirense,1,70,25,6,2.10,3.10,3.40,74,26,1.72,2.07,1 - 0
02:30,MLS,Orlando City,Chicago Fire,1,59,19,22,1.95,3.55,3.70,24,76,2.52,1.52,1 - 2
03:00,BRA,Atlético Mineiro,Flamengo,1X,56,20,24,1.88,3.35,3.75,26,74,1.72,2.07,0 - 1
03:00,BRB,Guarani,CRB,1X,44,30,26,1.63,3.80,4.25,68,32,1.71,2.07,2 - 0
03:00,MLS,Minnesota United,Montreal Impact,1X,44,30,26,2.16,3.45,3.20,68,32,2.30,1.61,2 - 0
03:00,CL,Universidad Católica,Antofagasta,X1,49,23,28,1.68,3.40,4.50,39,61,1.82,1.93,0 - 0
04:00,MLS,Colorado Rapids,Portland Timbers,X1,49,24,27,2.50,3.40,2.70,46,54,2.00,1.80,2 - 3
05:00,MLS,Los Angeles FC,DC United,X2,38,24,38, , , ,42,58, , ,1 - 1
13:45,PL1,Miedź Legnica,Chojniczanka Chojnice,1,67,18,15,1.85,3.50,3.65,35,65,1.91,1.81,5 - 1
13:45,PL1,Pogoń Siedlce,Puszcza Niepołomice,1X,47,35,18,1.72,3.40,4.40,81,19,1.68,2.08,0 - 0
13:45,PL1,Górnik Łęczna,Raków Częstochowa,X1,41,25,34,2.43,3.20,2.65,46,54,1.75,1.98,2 - 1
13:45,PL1,Olimpia Grudziądz,Katowice,X2,35,31,35,2.55,3.20,2.60,68,32,1.57,2.28,1 - 1
13:45,PL1,Tychy 71,Odra Opole,1X,48,28,23,2.00,3.40,3.25,63,37,1.76,1.97,3 - 0
13:45,PL1,Ruch Chorzów,Zagłębie Sosnowiec,2X,11,32,58,4.50,3.65,1.65,81,19,1.76,1.97,0 - 1
13:45,PL1,Podbeskidzie,Wigry Suwałki,X2,21,39,41,2.33,3.20,2.80,85,15,1.64,2.14,1 - 0
13:45,PL1,Stomil Olsztyn,Stal Mielec,2X,23,24,53,3.05,3.25,2.15,50,50,1.91,1.81,1 - 0
13:45,PL1,Bytovia Bytów,Chrobry Głogów,X2,31,29,40,2.38,3.20,2.70,63,37,1.81,1.91,3 - 3
15:00,EST1,Tallinna Kalev,Tammeka,1X,52,19,28,2.51,3.50,2.63,19,81,2.15,1.67,2 - 1
