Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
11:30,BG1,Slavia Sofia,Vereya,1,73,16,10, , , ,35,65, , ,0 - 1
12:30,BG1,Slavia Sofia,Vereya,1,73,16,10,1.65,3.66,5.41,35,65,1.78,2.04,0 - 1
14:00,BG1,Pirin Blagoevgrad,Dunav Ruse,X2,33,34,33, , , ,77,23, , ,1 - 0
14:00,RU2,Kuban Krasnodar,Tambov,,0,0,0, , , ,0,0, , ,0 - 0
15:00,TR1,Altınordu,İstanbulspor,1X,44,30,26,2.14,3.10,3.10,68,32,1.58,2.20,3 - 1
15:00,RU2,Kuban' Krasnodar,Tambov,1X,40,29,31,2.38,2.88,2.70,63,37,1.41,2.70,0 - 0
15:00,BG1,OFK Pirin,Dunav 2010,X2,33,34,33,2.28,2.92,3.53,77,23,1.44,2.70,1 - 0
16:30,BG1,CSKA-Sofia,Etar,1,66,23,11, , , ,63,37, , ,2 - 1
17:30,BG1,CSKA Sofia,Etar,1,66,23,11,1.10,8.00,16.00,63,37,2.39,1.53,2 - 1
19:00,UEFA,Atletico Madrid,Lokomotiv Moscow,2X,25,26,49,1.26,6.40,15.50,54,46,1.93,1.95,3 - 0
19:00,UEFA,Borussia Dortmund,Salzburg,1,72,14,13,1.58,4.50,6.60,20,80,2.28,1.69,1 - 2
19:00,UEFA,AC Milan,Arsenal,X1,45,20,35,2.16,3.45,3.90,20,80,1.98,2.00,0 - 2
19:00,UEFA,CSKA Moscow,Lyon,X2,35,31,35,2.96,3.30,2.72,68,32,1.77,2.20,0 - 1
20:00,UEFA,Atlético Madrid,Lokomotiv Moskva,X2,34,25,41,1.20,7.10,17.50,46,54,2.25,1.65,3 - 0
20:00,UEFA,CSKA Moskva,Olympique Lyonnais,1X,53,24,23,2.70,3.05,3.01,50,50,1.54,2.48,0 - 1
20:00,UEFA,Borussia Dortmund,Salzburg,1X,53,21,26,1.69,3.96,5.35,29,71,2.14,1.72,1 - 2
20:00,UEFA,Milan,Arsenal,1X,55,18,27,2.15,3.41,3.69,14,86,1.86,1.95,0 - 2
21:05,UEFA,Lazio,Dynamo Kiev,1X,49,20,30,1.45,4.80,9.20,24,76,2.24,1.74,2 - 2
21:05,UEFA,Sporting CP,Viktoria Plzen,1,72,14,13,1.47,4.50,9.40,20,80,1.84,2.08,2 - 0
21:05,UEFA,Marseille,Athletic Bilbao,X1,40,25,35,1.87,3.65,4.80,45,55,1.79,2.10,3 - 1
21:05,UEFA,RB Leipzig,Zenit St Petersburg,2,5,19,76,1.73,3.95,5.70,66,34,1.89,2.06,2 - 1
22:05,UEFA,Lazio,Dynamo Kyiv,1X,57,22,22,1.41,4.62,9.52,39,61,2.00,1.80,2 - 2
22:05,UEFA,RB Leipzig,Zenit,2,4,19,77,1.62,4.10,5.60,65,35,1.90,1.90,2 - 1
22:05,UEFA,Olympique Marseille,Athletic Club,1X,46,20,33,1.78,3.50,5.58,24,76,1.68,2.20,3 - 1
22:05,UEFA,Sporting CP,Viktoria Plzeň,1,60,21,18,1.62,3.80,6.64,42,58,1.81,2.00,2 - 0
