Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
09:50,A1,Adelaide United,Wellington Phoenix,1,61,22,17,1.51,4.70,7.20,50,50,2.36,1.60,3 - 1
11:50,A1,Adelaide United,Wellington Phoenix,1,61,22,17,1.56,4.40,5.40,50,50,2.45,1.55,3 - 1
12:45,EG1,Oxford United,Scunthorpe United,2X,25,22,53,2.80,3.50,2.72,35,65,2.04,1.94,1 - 1
13:00,EGC,Millwall,Nottingham Forest,X2,31,29,40,1.90,3.65,4.90,63,37,1.72,2.36,2 - 0
13:00,EG1,Wigan,Oldham,X2,35,31,35,1.48,4.70,8.40,68,32,2.00,1.96,3 - 0
13:15,PR2,Sporting Covilhã,Academico Viseu,X2,33,27,40,3.38,2.97,2.49,54,46,1.42,2.78,1 - 3
14:45,EG1,Oxford United,Scunthorpe United,2X,25,22,53,2.75,3.25,2.55,35,65,2.05,1.83,1 - 1
15:00,EG2,Barnet,Crewe Alexandra,2,15,21,65,2.54,3.40,3.05,46,54,1.83,2.18,2 - 1
15:00,EG2,Cambridge United,Crawley Town,X2,28,28,44,2.10,3.65,3.80,59,41,1.93,2.02,3 - 1
15:00,EG2,Cheltenham Town,Carlisle United,X2,34,25,41,2.42,3.60,3.10,46,54,2.04,1.92,0 - 1
15:00,EG2,Colchester United,Luton Town,X2,35,31,35,4.10,3.65,2.00,68,32,1.93,2.02,2 - 1
15:00,EG2,Grimsby Town,Stevenage,2X,16,32,53,2.48,3.30,3.25,77,23,1.62,2.54,0 - 0
15:00,EG2,Lincoln,Exeter City,1X,57,22,22,1.80,3.75,5.40,39,61,1.81,2.14,3 - 2
15:00,EG2,Mansfield Town,Accrington Stanley,1X,49,20,31,2.54,3.35,3.10,21,79,1.72,2.32,0 - 1
15:00,EG2,Newport County,Coventry City,1X,44,28,28,3.15,3.25,2.60,59,41,1.68,2.40,1 - 1
15:00,EG2,Notts County,Wycombe Wanderers,2X,31,20,49,2.70,3.40,2.86,21,79,1.84,2.14,0 - 0
15:00,EG2,Port Vale,Chesterfield,X1,37,37,27,2.18,3.40,3.90,81,19,1.67,2.44,2 - 1
15:00,EG2,Swindon Town,Morecambe,1X,53,24,23,1.82,3.90,4.90,50,50,2.00,1.99,1 - 1
15:00,EG2,Yeovil Town,Forest Green Rovers,1X,44,28,28,2.48,3.45,3.15,59,41,1.77,2.20,
15:00,CRO1,Cibalia,NK Lokomotiva,X1,46,40,14, , , ,89,11, , ,1 - 1
15:00,EG1,Rotherham United,Peterborough,1,62,24,15,1.90,3.95,4.30,59,41,2.30,1.74,1 - 1
15:00,EG1,Rochdale,Shrewsbury Town,2,11,23,66,2.54,3.20,3.25,63,37,1.56,2.72,3 - 1
15:00,EG1,Plymouth,Southend United,1,78,15,6,2.54,3.45,3.05,46,54,1.82,2.18,4 - 0
15:00,EGC,Norwich City,Fulham,2X,23,24,53,3.30,3.75,2.28,50,50,2.44,1.67,0 - 2
15:00,EGC,Sheffield Wednesday,Preston,X2,24,23,53,3.30,3.30,2.50,42,58,1.72,2.36,4 - 1
15:00,EGC,Cardiff City,Burton Albion,1,68,19,13,1.42,4.70,11.00,42,58,1.85,2.14,3 - 1
15:00,EGC,Barnsley,Bristol City,X1,34,42,23,3.00,3.35,2.64,89,11,1.79,2.24,2 - 2
15:00,EGC,Brentford,Sheffield United,1,57,24,19,2.10,3.80,3.70,54,46,2.20,1.81,1 - 1
15:00,EG1,AFC Wimbledon,Fleetwood Town,X1,40,27,33,2.44,3.25,3.30,54,46,1.61,2.56,0 - 1
15:00,EG1,Blackpool,Doncaster Rovers,X2,33,27,40,2.34,3.25,3.55,54,46,1.65,2.48,1 - 2
15:00,EG1,Bristol Rovers,Bury,1X,53,26,21,1.93,3.85,4.20,59,41,2.02,1.93,2 - 1
15:00,EG1,Northampton Town,Charlton Athletic,X2,27,37,37,3.55,3.40,2.28,81,19,1.74,2.30,0 - 4
15:00,EGC,Leeds United,Bolton Wanderers,1X,63,28,9,1.97,3.55,4.60,77,23,1.80,2.20,2 - 1
15:00,EG1,Wigan Athletic,Oldham Athletic,X2,35,31,35,1.44,4.52,8.50,68,32,1.97,1.91,3 - 0
15:00,EGC,Millwall,Nottingham Forest,X2,31,29,40,1.85,3.35,4.75,63,37,1.66,2.32,2 - 0
16:00,PR1,Maritimo,Feirense,1X,53,26,21,1.78,3.50,6.20,59,41,1.66,2.44,4 - 1
17:00,CRO1,Osijek,Slaven,1,80,15,4, , , ,54,46, , ,3 - 0
17:00,CZ1,Dukla Praha,Sigma Olomouc,1,57,26,17, , , ,63,37, , ,2 - 3
17:00,RS1,Rad Beograd,Vozdovac,,0,0,0, , , ,0,0, , ,0 - 1
17:00,CRO1,Cibalia,Lokomotiva Zagreb,2X,23,28,48,2.42,3.17,3.09,63,37,1.69,2.23,1 - 1
17:00,EG2,Barnet,Crewe Alexandra,2,15,21,65,2.51,3.45,2.92,46,54,1.83,1.93,2 - 1
17:00,EG2,Cambridge United,Crawley Town,X2,28,28,44,2.02,3.63,3.83,59,41,1.78,1.98,3 - 1
17:00,EG2,Cheltenham Town,Carlisle United,X2,34,25,41,2.39,3.56,3.03,46,54,2.10,1.79,0 - 1
17:00,EG2,Colchester United,Luton Town,X2,35,31,35,4.13,3.56,1.97,68,32,1.78,1.98,2 - 1
17:00,EG2,Grimsby Town,Stevenage,2X,16,32,53,2.39,3.07,3.25,77,23,1.54,2.38,0 - 0
17:00,EG2,Lincoln City,Exeter City,1X,57,22,22,1.70,3.84,5.48,39,61,1.74,2.02,3 - 2
17:00,EG2,Mansfield Town,Accrington Stanley,1X,49,20,31,2.63,3.31,2.88,21,79,1.62,2.23,0 - 1
17:00,EG2,Newport County,Coventry City,1X,44,28,28,3.09,3.25,2.51,59,41,1.57,2.33,1 - 1
17:00,EG2,Notts County,Wycombe Wanderers,2X,31,20,49,2.62,3.28,2.91,21,79,1.71,2.07,0 - 0
17:00,EG2,Port Vale,Chesterfield,X1,37,37,27,2.13,3.31,3.87,81,19,1.67,2.14,2 - 1
17:00,EG2,Swindon Town,Morecambe,1X,53,24,23,1.79,3.95,4.57,50,50,1.93,1.83,1 - 1
17:00,EG1,AFC Wimbledon,Fleetwood Town,X1,40,27,33,2.53,3.10,3.20,54,46,1.54,2.51,0 - 1
17:00,EG1,Blackpool,Doncaster Rovers,X2,33,27,40,2.38,3.07,3.52,54,46,1.58,2.28,1 - 2
17:00,EG1,Bristol Rovers,Bury,1,61,22,17,1.77,3.86,4.85,50,50,1.93,1.83,2 - 1
17:00,EG1,Northampton Town,Charlton Athletic,X2,27,37,37,3.58,3.40,2.19,81,19,1.62,2.23,0 - 4
17:00,EG1,Plymouth Argyle,Southend United,1,78,15,6,2.55,3.25,2.75,46,54,1.68,2.10,4 - 0
17:00,EG1,Rochdale,Shrewsbury Town,2,11,23,66,2.55,3.15,2.85,63,37,1.46,2.60,3 - 1
17:00,EG1,Rotherham United,Peterborough United,1,62,24,15,1.80,3.75,4.10,59,41,2.28,1.66,1 - 1
17:00,EGC,Barnsley,Bristol City,X1,34,42,23,2.95,3.20,2.55,89,11,1.74,2.20,2 - 2
