Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
01:15,BRB,Goiás,Guarani,X2,18,35,47,2.06,3.15,3.25,81,19,1.58,2.28,1 - 1
03:00,MLS,Toronto,Orlando City,X1,49,23,28,1.67,4.23,5.06,39,61,2.65,1.48,2 - 1
03:00,CL,Universidad Chile,Palestino,X1,45,24,31,1.62,4.50,5.17,42,58,2.25,1.68,1 - 2
03:30,BRB,Figueirense,Fortaleza,X2,37,26,37,2.50,2.80,2.80,50,50,1.50,2.48,1 - 3
14:00,SP1,Celta de Vigo,Levante,X1,45,24,31,1.90,4.00,3.80,42,58,2.85,1.44,4 - 2
16:00,PL1,Katowice,Tychy 71,1X,44,30,26,2.02,3.50,3.92,68,32,1.63,2.30,1 - 2
16:00,ITA,Juventus,Hellas Verona,1,80,15,4,1.09,13.00,28.00,54,46,4.10,1.24,2 - 1
17:00,SP2,Gimnàstic Tarragona,Cultural Leonesa,X2,33,34,33,2.10,3.15,3.70,77,23,1.73,2.18,5 - 3
17:00,SP2,Real Oviedo,Sevilla II,1X,52,36,12,1.35,4.60,9.00,85,15,1.83,2.05,2 - 1
17:00,PL1,Wigry Suwałki,Stomil Olsztyn,X2,35,31,35,1.80,3.30,4.10,68,32,1.70,2.06,1 - 2
17:00,CZ1,Karviná,Baník Ostrava,1X,58,29,14,2.60,3.25,2.60,72,28,1.74,2.02,0 - 0
17:00,CZ1,Zbrojovka Brno,Vysočina Jihlava,2,7,22,71,2.05,3.45,3.30,68,32,1.98,1.78,0 - 0
17:00,CZ1,Slovácko,Zlín,X2,29,32,38,3.20,1.72,5.30,72,28,1.40,2.87,1 - 1
17:00,CZ1,Slavia Praha,Jablonec,2X,30,21,49,1.60,3.70,5.25,26,74,1.82,1.93,1 - 3
17:00,CZ1,Viktoria Plzeň,Teplice,1X,48,28,23,1.12,7.50,18.00,63,37,2.23,1.61,2 - 1
17:00,CZ1,Mladá Boleslav,Dukla Praha,X2,12,36,52,1.65,3.55,5.10,85,15,1.95,1.80,1 - 0
17:00,CZ1,Sparta Praha,Sigma Olomouc,1X,49,21,30,1.70,3.45,4.80,26,74,1.96,1.80,1 - 0
17:00,CZ1,Slovan Liberec,Bohemians 1905,1X,53,32,16,1.70,3.55,4.60,77,23,1.67,2.12,1 - 0
17:00,SW1,Sirius,Trelleborg,1,57,26,17,2.06,3.49,3.79,63,37,1.88,1.93,1 - 1
17:00,SW1,GIF Sundsvall,Östersunds FK,X1,45,26,30,3.65,3.60,2.00,50,50,1.81,2.00,2 - 3
17:00,SW2,Degerfors,Brage,1,66,23,11,1.99,3.71,3.84,63,37,2.00,1.80,2 - 2
17:00,SW2,Falkenberg,Norrby,X2,39,23,39,1.63,4.36,5.26,35,65,2.43,1.55,0 - 0
17:00,DN1,AGF,SønderjyskE,X1,36,28,36,2.03,3.65,3.76,59,41,1.79,2.10,2 - 2
17:15,SP1,Leganés,Real Betis,X2,33,34,33,2.45,3.55,2.85,77,23,2.25,1.66,3 - 2
18:00,SLO1,Ružomberok,DAC,2X,19,29,53,3.22,3.37,2.28,68,32,1.77,2.05,0 - 4
18:00,SLO1,Slovan Bratislava,Žilina,1,68,19,13,2.07,3.71,3.40,42,58,2.24,1.63,3 - 2
18:00,SLO1,Spartak Trnava,Trenčín,2,11,14,74,1.86,3.88,4.01,26,74,2.37,1.55,0 - 2
18:00,SLO1,Tatran Prešov,Zemplín Michalovce,2,17,26,57,4.35,3.72,1.83,63,37,1.80,2.02,2 - 1
18:00,SLO1,Podbrezová,Zlaté Moravce,1,65,22,13,1.83,3.76,4.28,54,46,2.05,1.77,1 - 0
18:00,SLO1,Nitra,Senica,X2,35,31,35,1.22,6.25,15.65,68,32,2.06,1.77,5 - 2
18:00,HU1,Vasas,Videoton,X2,27,37,37,8.00,4.00,1.44,81,19,2.01,1.81,0 - 3
18:00,HU1,Puskás,Mezőkövesd-Zsóry,X1,36,28,36,2.30,3.50,2.87,59,41,1.81,2.01,1 - 2
18:00,HU1,Balmazújváros Sport,Debrecen,X2,20,23,57,3.00,3.40,2.30,46,54,1.90,1.90,4 - 0
18:00,HU1,Diósgyőr,Paksi SE,1X,40,29,31,2.70,3.35,2.35,63,37,1.90,1.85,1 - 0
18:00,HU1,Szombathelyi Haladás,Újpest,1,62,24,15,2.80,3.39,2.55,59,41,1.90,1.93,1 - 1
18:00,CRO1,Rijeka,Hajduk Split,1,63,14,20,1.65,3.85,3.85,7,93,2.04,1.71,3 - 1
19:00,TR,Göztepe,Galatasaray,2X,30,21,49,5.54,4.23,1.63,26,74,2.35,1.62,0 - 1
19:00,TR,Fenerbahçe,Konyaspor,1,76,17,7,1.20,7.39,14.74,50,50,3.00,1.37,3 - 2
19:00,TR,İstanbul Başakşehir,Kasımpaşa,2X,29,22,49,1.25,6.40,13.27,32,68,3.50,1.28,3 - 2
19:00,TR,Beşiktaş,Sivasspor,1,66,18,16,1.31,6.69,8.47,29,71,3.45,1.29,5 - 1
19:00,PL1,Chojniczanka Chojnice,Chrobry Głogów,X2,28,28,44,1.97,3.75,3.80,59,41,1.91,1.95,3 - 0
19:00,PL1,Zagłębie Sosnowiec,Podbeskidzie,1X,53,24,23,1.77,3.75,4.89,50,50,1.75,2.12,2 - 0
19:00,SW1,Norrköping,Dalkurd,1,69,23,8,1.75,3.83,4.98,66,34,2.15,1.71,4 - 2
19:00,SW2,Varberg,Öster,X2,27,24,49,2.93,3.47,2.47,46,54,1.76,2.07,1 - 2
19:00,SW2,Frej,Landskrona,1X,44,30,26,2.89,3.79,2.36,68,32,2.09,1.79,2 - 1
