Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
00:00,MLS,Orlando City,Real Salt Lake,1,73,19,8,1.70,3.80,4.70,54,46,2.55,1.50,3 - 1
01:00,BRA,Sport Recife,Bahia,1X,48,28,23,2.15,3.10,3.25,63,37,1.68,2.10,2 - 0
01:00,BRA,Grêmio,Santos,1X,44,30,26,1.63,3.89,6.16,68,32,1.58,2.28,5 - 1
02:00,AR1,Estudiantes,Racing Club,X2,24,23,53,2.40,2.95,3.00,42,58,1.63,2.37,1 - 2
02:00,MX1,Santos Laguna,Tigres UANL,1,78,15,6,2.36,3.62,3.02,46,54,2.01,1.87,2 - 0
18:00,RO1,Sepsi,Concordia Chiajna,1,66,23,11,2.04,3.10,3.90,63,37,1.64,2.25,0 - 2
19:00,GR1,Panathinaikos,Xanthi,1X,63,28,9,2.28,3.20,3.00,77,23,1.67,2.12,1 - 2
19:00,TR1,Ankaragücü,Adana Demirspor,1,65,17,17,1.42,4.90,6.60,24,76,2.23,1.60,1 - 1
19:30,RU1,Anzhi,Akhmat Grozny,X2,37,26,37,3.30,3.20,2.37,50,50,1.62,2.32,0 - 2
19:30,BEL1,Dnepr Mogilev,BATE,2X,23,20,56,7.16,4.26,1.41,32,68,1.87,1.95,0 - 1
19:30,RU1,Rubin Kazan',Ufa,1X,53,29,19,1.75,3.05,5.75,68,32,1.42,2.75,0 - 0
20:00,DN1,Midtjylland,Nordsjælland,1X,56,20,23,1.55,4.72,5.67,32,68,3.65,1.29,2 - 1
20:00,NO1,Sarpsborg 08,Molde,1X,57,23,20,2.38,3.40,2.95,46,54,1.86,1.96,2 - 2
20:00,SW1,Sirius,Örebro,X2,33,27,40,2.59,3.47,2.79,54,46,1.92,1.96,2 - 4
20:00,SW1,Malmö FF,IFK Göteborg,X1,40,27,33,1.59,3.99,6.50,54,46,2.15,1.71,1 - 2
20:00,SW2,Värnamo,Norrby,1X,49,19,31,1.84,4.20,3.98,17,83,2.40,1.57,0 - 0
20:00,SW2,Gefle,Halmstad,X2,37,26,37,2.58,3.48,2.79,50,50,1.90,1.90,1 - 3
20:00,BG1,Etar,OFK Pirin,1X,57,23,20,1.56,3.99,5.95,46,54,1.81,2.01,2 - 1
20:00,TR,Beşiktaş,Kayserispor,1,86,10,4,1.19,7.60,17.79,32,68,2.30,1.60,2 - 0
20:00,TR,Göztepe,Yeni Malatyaspor,1,72,18,10,1.79,3.75,4.79,46,54,1.95,1.93,0 - 0
20:30,IL1,Maccabi Tel Aviv,Maccabi Netanya,X1,45,26,30,1.90,3.99,3.86,50,50,2.38,1.58,2 - 0
20:45,RO1,CSM Iaşi,FCSB,2,13,19,68,7.00,4.25,1.44,42,58,1.74,2.10,1 - 0
21:30,ITB,Empoli,Cremonese,1,73,19,8,1.85,3.37,4.77,54,46,2.02,1.86,1 - 1
22:00,PR1,Paços de Ferreira,Rio Ave,1X,52,36,12,1.85,3.55,4.00,85,15,1.85,1.90,0 - 0
22:00,SP2,Granada,Rayo Vallecano,X2,34,25,41,2.38,3.30,2.90,46,54,1.88,1.88,0 - 2
22:00,SP1,Leganés,Levante,X2,33,34,33,2.34,3.26,3.42,77,23,1.66,2.14,0 - 3
