Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
03:30,MX1,Tigres UANL,Santos Laguna,1,64,20,16,1.90,3.58,4.18,39,61,1.80,2.09,2 - 0
05:30,MX1,Morelia,Toluca,X1,41,25,34,3.18,3.37,2.31,46,54,1.75,2.17,2 - 2
15:00,LAT1,Spartaks Jūrmala,Liepāja,2X,33,21,46,2.89,3.20,2.20,29,71,1.70,2.10,2 - 2
17:00,LAT1,Riga,Valmiera / BSS,1X,49,26,25,1.14,7.00,13.00,54,46,2.70,1.44,6 - 1
17:30,TR1,Gaziantepspor,Giresunspor,2,13,22,65,16.07,7.37,1.16,54,46, , ,4 - 5
17:30,TR1,Elazığspor,İstanbulspor,1,83,11,5,2.50,3.45,2.38,29,71,2.30,1.60,2 - 2
17:30,TR1,Balıkesirspor,Manisaspor,1X,42,34,24,1.11,10.45,17.40,77,23,4.40,1.19,4 - 1
17:30,TR1,Adanaspor,Eskişehirspor,X2,37,26,37,1.44,4.75,6.50,50,50,3.10,1.36,0 - 3
17:30,BG1,Lokomotiv Plovdiv,Slavia Sofia,2,15,24,62,2.20,3.30,3.25,59,41,1.80,2.00,3 - 1
18:00,RO1,ACS Poli Timişoara,Voluntari,X2,31,29,40,2.50,3.00,3.00,63,37,1.57,2.40,2 - 3
18:30,BEL1,Slutsk,Vigvam Smolevichi,1X,48,31,21,1.88,2.90,4.25,72,28,1.57,2.28,1 - 0
19:00,PL1,Bytovia Bytów,Odra Opole,2X,26,30,44,2.78,3.16,2.79,68,32,1.57,2.28,1 - 0
19:00,CRO1,Lokomotiva Zagreb,Rijeka,X2,35,22,42,5.61,3.80,1.66,32,68,1.86,1.86,1 - 0
19:00,EST1,Trans,Kuressaare,1X,44,28,28,1.12,8.68,19.37,59,41,3.45,1.27,3 - 0
19:00,PL,Cracovia Kraków,Śląsk Wrocław,1X,53,22,25,2.05,3.63,3.70,35,65,2.01,1.87,3 - 3
19:00,RS1,Mladost Lučani,Mačva Šabac,1X,53,26,21,2.58,2.97,2.79,59,41,1.67,2.21,0 - 0
20:00,DN1,Horsens,AaB,1X,44,30,26,2.05,3.85,3.49,68,32,2.05,1.83,2 - 1
20:00,BG1,Levski Sofia,Botev Plovdiv,2X,21,26,53,1.61,4.08,5.26,59,41,1.88,1.94,3 - 2
20:00,SW2,Frej,AFC Eskilstuna,X2,31,24,45,7.66,5.52,1.39,42,58,2.45,1.55,0 - 2
20:00,TR,İstanbul Başakşehir,Sivasspor,X1,40,27,33,1.44,4.83,7.74,54,46,2.33,1.63,1 - 1
20:15,CZ1,Sparta Praha,Zlín,1,67,18,15,1.28,5.00,10.00,35,65,2.00,1.75,2 - 1
20:45,RO1,Viitorul,Astra,1X,49,26,25,1.99,3.46,4.14,54,46,1.75,2.04,1 - 1
21:00,PL1,Stal Mielec,Wigry Suwałki,1,62,24,15,2.31,3.29,3.35,59,41,1.74,2.00,3 - 0
21:00,CRO1,Slaven Koprivnica,Dinamo Zagreb,2X,30,21,49,9.89,4.63,1.37,26,74,1.94,1.79,2 - 2
21:30,BL1,Gent,Sporting Charleroi,1X,53,26,21,1.57,4.12,6.56,59,41,1.88,1.93,0 - 1
21:30,PL,Lechia Gdańsk,Nieciecza,1X,48,28,23,1.71,4.11,4.85,63,37,2.18,1.72,0 - 1
21:45,FR1,Amiens SC,PSG,X2,27,24,49,8.50,6.00,1.30,46,54,3.25,1.35,2 - 2
21:45,FR2,Auxerre,Ajaccio,X1,40,27,33,3.45,3.20,2.10,54,46,1.89,1.87,1 - 1
21:45,FR2,Paris,Nancy,X2,19,51,30,2.40,3.10,3.00,95,5,1.60,2.28,2 - 1
21:45,FR2,Brest,Quevilly Rouen,X1,45,24,31,1.45,4.80,5.20,42,58,2.40,1.54,2 - 0
21:45,FR2,Lorient,Bourg-en-Bresse,1X,44,28,28,1.43,4.50,6.10,59,41,2.70,1.44,6 - 0
21:45,FR2,Nîmes,Gazélec Ajaccio,1X,53,32,16,1.20,6.00,12.00,77,23,2.23,1.62,4 - 0
21:45,FR2,Niort,Le Havre,X1,49,23,28,5.80,4.20,1.48,39,61,2.14,1.67,0 - 1
21:45,FR2,Orléans,Châteauroux,1,69,20,11,2.55,3.45,2.55,50,50,2.23,1.61,1 - 1
21:45,FR2,Sochaux,Clermont,X1,36,28,36,3.60,3.60,1.90,59,41,2.08,1.71,1 - 3
21:45,FR2,Tours,Lens,X1,40,27,33,2.88,3.65,2.20,54,46,2.20,1.63,4 - 2
21:45,FR2,Valenciennes,Reims,2X,25,22,53,4.10,3.70,1.75,35,65,2.32,1.57,1 - 3
21:45,PL1,Tychy 71,Miedź Legnica,1X,53,26,21,3.45,3.27,2.28,59,41,1.61,2.20,1 - 0
21:45,SCP,Partick Thistle,Ross County,X2,24,34,42,2.40,3.24,3.33,77,23,1.61,2.30,1 - 1
22:00,EGP,Brighton & Hove Albion,Manchester United,X1,46,23,32,5.20,3.43,1.86,35,65,1.74,2.23,1 - 0
22:00,SP1,Sevilla,Real Sociedad,1,62,26,12,2.15,3.66,3.49,68,32,2.62,1.52,1 - 0
22:00,SP2,Alcorcón,Cultural Leonesa,X2,21,39,41,1.90,3.00,5.00,85,15,1.60,2.29,0 - 0
22:30,PR1,Sporting Braga,Boavista,1,80,17,4,1.24,5.50,11.00,61,39,2.38,1.55,1 - 1
