Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
09:50,A1,Adelaide United,Melbourne City,2X,25,26,49,2.60,3.45,2.86,54,46,2.08,1.83,1 - 1
10:50,A1,Adelaide United,Melbourne City,2X,25,26,49,2.48,3.57,2.92,54,46,1.95,1.85,1 - 1
13:00,RU2,Dinamo St Petersburg,Khimki,1,65,22,13, , , ,54,46, , ,2 - 1
14:00,RU2,Dinamo St. Petersburg,Khimki,1,65,22,13,1.87,2.95,3.80,54,46,1.50,2.43,2 - 1
16:30,BG1,Septemvri Sofia,Vereya,1,57,26,17, , , ,63,37, , ,2 - 0
17:00,SLO1,Tatran Presov,FK Senica,X2,19,51,30, , , ,95,5, , ,1 - 1
17:00,RS1,Vozdovac,Radnicki Nis,,0,0,0, , , ,0,0, , ,2 - 1
17:00,TR1,Adana Demirspor,Ümraniyespor,1,67,25,8,3.00,3.30,2.10,72,28,1.68,2.04,0 - 1
17:30,BG1,Septemvri Sofia,Vereya,1,57,26,17,1.46,4.00,6.00,63,37,1.83,1.98,2 - 0
18:00,CRO1,NK Istra 1961,Slaven,1X,47,35,18, , , ,81,19, , ,2 - 1
18:00,TR1,Karabukspor,Osmanlispor,2X,11,32,58,4.60,3.85,1.75,81,19,2.06,1.64,0 - 4
18:00,PL1,Piast Gliwice,Zaglebie Lubin,2X,14,29,58,2.48,3.15,3.10,72,28,1.64,2.06,0 - 0
18:00,TR1,Kasimpasa,Antalyaspor,1,62,26,12,1.93,3.65,3.70,68,32,2.16,1.59,2 - 3
18:00,SLO1,Tatran Prešov,Senica,X2,19,51,30,3.54,3.23,2.21,95,5,1.53,2.40,1 - 1
18:00,RS1,Voždovac,Radnički Niš,2X,33,21,46,3.17,3.14,2.32,29,71,1.71,2.12,2 - 1
18:00,RO1,Juventus Bucureşti,ACS Poli Timişoara,X2,27,47,27,3.12,3.03,2.63,92,8,1.43,2.82,1 - 0
18:30,GE2,Holstein Kiel,FC Heidenheim,1X,57,22,22,1.56,4.30,5.80,39,61,2.20,1.55,2 - 1
18:30,EST1,Trans Narva,Paide Linnameeskond,X2,37,26,37, , , ,50,50, , ,1 - 0
18:30,GE2,Fortuna Duesseldorf,Arminia Bielefeld,X2,27,24,49,1.98,3.50,3.50,46,54,1.81,1.81,4 - 2
19:00,TR,Karabükspor,Osmanlıspor,2X,11,32,58,6.21,4.68,1.53,81,19,2.30,1.58,0 - 4
19:00,TR,Kasımpaşa,Antalyaspor,1,62,26,12,2.03,3.82,3.62,68,32,2.25,1.61,2 - 3
19:00,PL,Piast Gliwice,Zagłębie Lubin,2X,5,28,68,2.25,3.20,3.29,81,19,1.53,2.39,0 - 0
19:00,CRO1,Istra 1961,Slaven Koprivnica,1X,47,35,18,3.08,2.94,2.70,81,19,1.42,2.78,2 - 1
19:30,EST1,Trans,Paide,X2,37,26,37,1.61,4.36,4.71,50,50,2.50,1.46,1 - 0
19:30,GE2,Fortuna Düsseldorf,Arminia Bielefeld,X2,27,24,49,2.14,3.60,3.50,46,54,2.04,1.74,4 - 2
19:30,GE2,Holstein Kiel,Heidenheim,1X,57,22,22,1.56,4.43,6.41,39,61,2.20,1.64,2 - 1
20:00,FR2,Lorient,Orleans,X1,49,24,27,1.51,4.10,6.40,46,54,1.88,1.78,3 - 1
20:00,FR2,Clermont Foot,Nancy,1X,48,28,23,1.98,3.20,3.65,63,37,1.64,2.06,2 - 0
20:00,FR2,Valenciennes,Paris FC,2X,26,30,44,2.84,2.96,2.64,68,32,1.55,2.20,2 - 4
20:00,NT2,Jong AZ Alkmaar,Almere City FC,X1,42,23,35,2.26,3.50,2.46,39,61,2.70,1.38,4 - 1
20:00,FR2,Sochaux,Tours,1,64,20,16,1.78,3.40,4.20,39,61,2.00,1.78,0 - 0
20:00,FR2,Chateauroux,Le Havre,1,65,21,15,2.64,3.00,2.78,46,54,1.64,2.06,2 - 1
20:00,NT2,Waalwijk,MVV Maastricht,X1,36,28,36,2.66,3.20,2.26,59,41,2.16,1.59,1 - 1
20:00,NT2,FC Eindhoven,Jong Utrecht,1,66,23,11,1.68,3.80,3.80,63,37,2.70,1.38,5 - 2
20:00,NT2,Go Ahead Eagles,Telstar,X2,28,28,44,2.46,3.30,2.36,59,41,2.46,1.48,1 - 1
20:00,NT2,Den Bosch,Dordrecht,X1,49,24,27,1.81,3.50,3.50,46,54,2.20,1.55,4 - 1
20:00,NT2,Jong PSV,Volendam,1X,46,21,33,1.90,3.60,3.50,29,71,2.46,1.48,2 - 1
20:00,NT2,Cambuur,NEC Nijmegen,2X,36,21,43,3.70,3.50,1.74,26,74,2.20,1.55,1 - 1
20:00,FR2,Quevilly,Auxerre,X2,30,26,45,3.90,3.40,1.90,50,50,1.88,1.78,4 - 1
20:00,NT1,Excelsior,ADO Den Haag,1X,47,35,18,2.48,3.30,2.80,81,19,1.70,1.98,1 - 2
20:00,NT2,Emmen,Helmond Sport,1X,53,22,25,1.27,5.20,9.00,35,65,2.20,1.55,0 - 0
20:00,FR2,Bourg en Bresse 01,Niort,1,68,19,13,2.14,3.40,3.20,42,58,2.06,1.64,0 - 1
20:00,FR2,GFC Ajaccio,Ajaccio,2X,25,26,49,2.66,3.00,2.70,54,46,1.59,2.16,0 - 1
20:00,NT2,FC Oss,Fortuna Sittard,1X,56,20,23,2.86,3.40,2.00,32,68,2.46,1.48,1 - 2
20:00,NT2,De Graafschap,Jong Ajax,X2,40,20,40,2.06,3.95,3.25,19,81,2.96,1.31,2 - 4
20:15,CZ1,Slovan Liberec,Brno,1,76,17,7, , , ,50,50, , ,2 - 0
20:30,ITB,Foggia,Cesena,1,57,26,17,1.88,3.45,4.50,63,37,1.98,1.70,2 - 1
20:30,GE1,Freiburg,VfB Stuttgart,2X,21,31,48,2.48,3.30,3.10,72,28,1.71,2.08,1 - 2
20:30,PL1,Lech Poznan,Lechia Gdansk,1,70,17,13,1.50,3.90,6.60,32,68,1.70,1.98,3 - 0
20:45,FR1,Monaco,Lille,1,76,15,9,1.31,6.00,12.50,32,68,2.50,1.54,2 - 1
20:45,SCP,St.Johnstone,Hibernian,X2,24,34,42,4.20,3.35,1.98,77,23,1.55,2.34,1 - 1
20:45,WAL1,The New Saints,Bala Town,1,65,17,17, , , ,24,76, , ,3 - 0
20:45,RO1,Viitorul,CS U Craiova,X1,53,23,24,3.38,3.16,2.39,42,58,1.54,2.52,0 - 0
21:00,EGP,Tottenham,Newcastle,1,62,18,19, , , ,26,74, , ,
21:00,SP2,Sevilla Atletico,Albacete,X2,23,42,34,2.86,2.92,2.36,89,11,1.51,2.34,1 - 2
21:00,SP1,Levante,Eibar,X2,27,37,37,3.30,3.25,2.40,81,19,1.61,2.24,2 - 1
21:00,FR2,Bourg-en-Bresse,Niort,1,68,19,13,2.26,3.44,3.36,42,58,2.02,1.74,0 - 1
21:00,FR2,Châteauroux,Le Havre,1,65,21,15,2.71,3.23,2.84,46,54,1.67,2.14,2 - 1
21:00,FR2,Clermont,Nancy,1X,48,28,23,1.80,3.25,4.60,63,37,1.67,2.14,2 - 0
21:00,FR2,Gazélec Ajaccio,Ajaccio,2X,25,26,49,2.87,3.17,2.73,54,46,1.39,2.87,0 - 1
21:00,FR2,Lorient,Orléans,X1,49,24,27,1.47,3.90,6.75,46,54,1.76,2.00,3 - 1
21:00,FR2,Quevilly Rouen,Auxerre,2X,20,20,60,4.27,3.62,1.93,35,65,1.89,1.86,4 - 1
21:00,FR2,Sochaux,Tours,1X,57,23,20,1.90,3.35,3.90,46,54,2.00,1.76,0 - 0
