Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
00:30,CL,Audax Italiano,Unión Española,X2,31,29,40,3.00,3.15,2.17,63,37,1.93,1.83,1 - 1
01:00,BRA,América Mineiro,São Paulo,1,60,21,18,2.80,2.90,2.50,42,58,1.50,2.48,1 - 3
01:00,BRA,Ceará,Grêmio,X2,24,34,42,3.65,2.90,2.07,77,23,1.49,2.55,0 - 1
01:00,MLS,Sporting KC,Columbus Crew,1,76,17,7,1.65,3.95,4.70,50,50,2.00,1.80,0 - 0
01:00,BRC,Náutico,Globo,1,80,17,4,1.60,3.30,5.75,61,39,1.81,1.91,2 - 0
17:00,EG2,Exeter City,Coventry City,X2,32,18,49,2.20,3.10,3.75,14,86,1.61,2.33,3 - 1
18:00,RO1,Gaz Metan Mediaş,Juventus Bucureşti,1X,48,28,23,1.28,5.61,13.80,63,37,1.85,2.02,3 - 0
18:45,BEL1,BATE,Isloch,1X,49,22,29,1.22,5.73,11.43,32,68,2.02,1.80,1 - 1
20:00,NO1,Sarpsborg 08,Stabæk,1,65,22,13,1.66,4.00,5.00,54,46,2.18,1.68,4 - 2
20:00,SW2,Helsingborg,Jönköpings Södra,X2,34,25,41,2.10,3.20,3.45,46,54,1.68,2.18,1 - 0
20:00,SW2,Gefle,Landskrona,1X,44,28,28,2.70,3.15,2.60,59,41,1.85,1.95,1 - 5
20:00,SW2,AFC Eskilstuna,Norrby,1,65,19,15,1.52,4.10,5.50,37,63,2.25,1.64,4 - 0
20:45,RO1,ACS Poli Timişoara,Dinamo Bucureşti,2X,18,19,63,3.09,3.41,2.42,32,68,1.76,2.14,1 - 3
20:45,BEL1,Neman Grodno,Torpedo BelAZ,X1,37,37,27,2.93,2.89,2.76,81,19,1.39,2.76,1 - 0
