Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
01:00,BRA,Internacional,Cruzeiro,1X,48,28,23,1.98,3.15,3.60,63,37,1.60,2.28,0 - 0
01:00,BRC,Atlético Acreano,Náutico,X1,55,36,9,2.80,3.40,2.30,87,13,1.74,2.00,1 - 0
01:30,MLS,New York City,Dallas,1,76,17,7, , , ,50,50, , ,3 - 1
02:00,MX1,Veracruz,Cruz Azul,X2,31,29,40,3.33,3.49,2.28,63,37,1.85,2.05,1 - 2
02:00,CL,San Luis,Universidad Católica,2X,16,32,53, , , ,77,23, , ,1 - 1
04:00,MLS,Los Angeles FC,Seattle Sounders,X2,12,47,41, , , ,93,7, , ,1 - 0
11:30,RU1,Ufa,SKA Khabarovsk,1,74,20,6,1.25,5.50,10.00,63,37,1.74,2.04,1 - 0
14:00,RU1,Dinamo Moskva,Rubin Kazan',1X,40,29,31,2.60,3.17,3.03,63,37,1.53,2.55,0 - 0
16:00,SW2,AFC Eskilstuna,Degerfors,1X,56,20,23,2.05,3.55,3.83,32,68,1.87,1.93,3 - 0
16:30,RU1,Akhmat Grozny,Ural,2X,21,31,48,1.66,3.86,5.92,72,28,1.70,2.21,0 - 0
17:00,LAT1,Liepāja,Jelgava,1X,53,29,19,1.33,4.50,7.00,68,32,2.10,1.70,3 - 1
17:00,SW1,Brommapojkarna,Östersunds FK,2X,14,29,58,4.90,3.90,1.70,72,28,1.98,1.83,0 - 4
18:00,RO1,Sepsi,Dinamo Bucureşti,2X,25,22,53,2.85,3.30,2.40,35,65,1.81,2.00,2 - 0
19:00,RU1,Krasnodar,Lokomotiv Moskva,2X,33,20,46,2.47,3.32,3.08,24,76,1.71,2.20,2 - 0
19:00,SW1,Örebro,Dalkurd,X1,55,36,9,2.15,3.58,3.50,87,13,1.87,1.94,3 - 2
19:00,PL,Śląsk Wrocław,Lechia Gdańsk,X2,33,34,33,2.39,3.40,3.15,77,23,1.79,2.10,3 - 1
20:00,DN1,Hobro,FC Helsingør,2,17,26,57,1.27,5.78,12.89,63,37,2.41,1.59,4 - 1
20:00,DN1,Silkeborg,AGF,1X,53,24,23,2.96,3.66,2.39,50,50,2.06,1.76,2 - 5
20:00,BG1,Etar,Lokomotiv Plovdiv,1,65,21,15,1.77,3.70,4.50,46,54,1.92,1.92,1 - 1
20:00,TR,Bursaspor,Konyaspor,X2,30,39,30,2.61,2.90,3.26,85,15,1.65,2.29,2 - 1
20:00,NO1,Stabæk,Lillestrøm,1X,44,28,28,2.34,3.66,3.01,59,41,2.12,1.73,3 - 2
20:00,FR2,Reims,Le Havre,1,65,17,17,1.82,3.45,4.10,24,76,1.86,2.00,0 - 1
20:45,RO1,Astra,CSM Iaşi,X2,38,24,38,1.80,3.60,5.05,42,58,1.70,2.22,3 - 0
21:00,IL1,Maccabi Netanya,Beitar Jerusalem,1X,49,22,29,3.62,3.98,1.96,32,68,2.45,1.55,4 - 1
21:30,ITB,Palermo,Bari 1908,1X,63,19,18,2.04,3.27,4.29,32,68,1.70,2.10,1 - 1
21:30,GE2,Nürnberg,Eintracht Braunschweig,1,68,19,13,1.72,3.70,4.70,42,58,2.00,1.76,2 - 0
21:45,FR2,Lens,Paris,2X,22,22,57,2.20,3.25,3.20,39,61,1.64,2.18,1 - 0
22:00,EGP,Tottenham Hotspur,Watford,1,77,19,4,1.18,8.40,18.00,65,35,3.05,1.38,2 - 0
22:00,PR1,Desportivo Aves,Estoril,1X,53,29,19,1.95,3.50,3.70,68,32,1.85,1.90,1 - 0
22:00,SP1,Real Betis,Málaga,1,70,21,9,1.47,4.69,7.58,59,41,1.93,1.97,2 - 1
