Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
11:30,BG1,Botev Plovdiv,Vitosha Bistritsa,1,82,16,2, , , ,63,37, , ,3 - 0
12:30,BG1,Botev Plovdiv,Vitosha Bistritsa,1,82,16,2,1.13,7.08,24.10,63,37,2.08,1.73,3 - 0
14:00,BG1,Septemvri Sofia,Lokomotiv Plovdiv,1X,40,29,31, , , ,63,37, , ,3 - 1
15:00,BH1,Borac Banja Luka,Zrinjski Mostar,2X,21,26,53, , , ,59,41, , ,1 - 1
15:00,BH1,Siroki Brijeg,FK Krupa,X2,39,23,39, , , ,35,65, , ,1 - 1
15:00,CRO1,NK Lokomotiva,Osijek,2X,26,30,44, , , ,68,32, , ,
15:00,CRO1,Inter Zapresic,NK Istra 1961,1X,57,23,20, , , ,46,54, , ,
15:00,BH1,Vitez,Radnik Bijeljina,X2,30,39,30, , , ,85,15, , ,0 - 0
15:00,BH1,Zeljeznicar,Celik Zenica,1,66,23,11, , , ,63,37, , ,3 - 1
15:00,BH1,FK Sarajevo,Sloboda Tuzla,1,89,9,1, , , ,46,54, , ,0 - 0
15:00,BH1,Mladost Doboj Kakanj,GOSK Gabela,1X,57,23,20, , , ,46,54, , ,1 - 1
15:00,RS1,Backa,Radnik Surdulica,,0,0,0, , , ,0,0, , ,4 - 2
15:00,RS1,Borac Cacak,Cukaricki,,0,0,0, , , ,0,0, , ,2 - 2
15:00,RS1,FK Spartak Subotica,Zemun,,0,0,0, , , ,0,0, , ,1 - 2
15:00,RS1,Javor,Radnicki Nis,,0,0,0, , , ,0,0, , ,1 - 3
15:00,RS1,Macva,Napredak,,0,0,0, , , ,0,0, , ,1 - 0
15:00,RS1,Vozdovac,Mladost Lucani,,0,0,0, , , ,0,0, , ,0 - 0
15:00,TR1,Adana Demirspor,Denizlispor,X1,40,27,33,2.00,3.40,3.15,54,46,1.85,1.85,3 - 1
15:00,TR1,BB Erzurumspor,Eskişehirspor,1X,53,22,25,1.90,3.40,3.45,35,65,2.04,1.68,2 - 1
15:00,BG1,Septemvri Sofia,Lokomotiv Plovdiv,1X,40,29,31,3.20,3.25,2.25,63,37,1.57,2.35,3 - 1
15:30,RS1,Partizan Belgrade,Rad Beograd,,0,0,0, , , ,0,0, , ,3 - 1
16:00,RS1,Mačva Šabac,Napredak,2,18,21,60,2.29,3.19,3.51,42,58,1.65,2.21,1 - 0
16:00,RS1,Voždovac,Mladost Lučani,1,69,16,14,1.65,3.88,5.74,26,74,1.68,2.17,0 - 0
16:00,RS1,Spartak Subotica,Zemun,1,68,19,13,1.58,3.96,6.53,42,58,1.68,2.17,1 - 2
16:00,RS1,Javor Ivanjica,Radnički Niš,X2,24,23,53,17.87,5.85,1.23,42,58,1.71,2.13,1 - 3
