Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
00:00,AR1,San Martín San Juan,Independiente,X2,35,31,35,4.30,3.40,1.78,68,32,1.80,1.96,0 - 4
00:00,AR1,Estudiantes,Olimpo,1,62,26,12,1.42,4.48,8.15,68,32,1.91,1.97,1 - 0
01:15,AR1,Argentinos Juniors,Boca Juniors,X1,53,23,24,4.10,3.35,2.10,42,58,1.63,2.28,2 - 0
02:00,CL,O'Higgins,Deportes Temuco,X1,45,26,30,1.94,3.15,3.60,50,50,1.65,2.16,2 - 0
02:15,AR1,Argentinos Juniors,Boca Juniors,X1,53,23,24,3.87,3.23,2.07,42,58,1.66,2.28,2 - 0
15:00,CRO1,Cibalia,Rudes,X2,35,31,35, , , ,68,32, , ,
15:00,TR1,Manisaspor,Giresunspor,1X,53,29,19,8.27,4.88,1.41,68,32,2.17,1.71,0 - 4
15:00,TR1,Samsunspor,Elazığspor,X2,31,29,40,2.79,3.01,2.91,63,37,1.60,2.36,2 - 0
16:30,BG1,Beroe,Ludogorets Razgrad,2X,31,20,49, , , ,21,79, , ,0 - 1
17:30,BG1,Beroe,Ludogorets,2X,31,20,49,6.25,3.80,1.48,21,79,1.83,1.99,0 - 1
18:00,ITB,Perugia,Brescia,1X,58,29,14,1.73,3.50,5.00,72,28,1.72,1.98,2 - 0
18:00,TR1,Gazişehir Gaziantep,Ümraniyespor,1,66,23,11,1.84,3.35,3.70,63,37,1.75,1.96,2 - 0
18:30,ITB,Cesena,Pro Vercelli,X1,53,23,24, , , ,42,58, , ,2 - 2
19:00,ITB,Perugia,Brescia,1X,58,29,14,1.82,3.60,4.92,72,28,1.89,1.99,2 - 0
19:30,ITB,Cesena,Pro Vercelli,X1,53,23,24,2.19,3.30,3.71,42,58,1.60,2.39,2 - 2
20:45,SC1,Dundee FC,Queen of South,1X,49,20,31, , , ,21,79, , ,
20:45,EG2,Accrington Stanley,Morecambe,1X,59,19,21,1.82,3.80,4.80,29,71,1.88,1.89,1 - 0
20:45,EG1,Walsall,Rochdale,1,57,26,17,2.68,3.35,2.84,63,37,1.71,2.20,0 - 3
20:45,CHL,Paris Saint Germain,Real Madrid,1,59,12,18,2.10,4.20,3.40,2,98,3.60,1.37,1 - 2
20:45,EG2,Newport County,Forest Green Rovers,1X,63,28,9,2.22,3.40,3.65,77,23,1.72,2.10,3 - 3
20:45,EG2,Mansfield Town,Lincoln,1,74,14,11,2.24,3.40,3.55,26,74,1.77,2.16,1 - 1
20:45,EG2,Cheltenham Town,Notts County,1X,40,29,31, , , ,63,37, , ,1 - 1
20:45,EGC,Preston,Bristol City,1X,53,32,16,2.38,3.30,3.40,77,23,1.69,2.20,2 - 1
20:45,SC1,Dunfermline,Inverness,1,57,26,17,2.26,3.30,3.10,63,37,1.84,2.02,
20:45,EGC,Burton Albion,Brentford,X2,21,39,41,4.60,3.75,1.85,85,15,1.90,1.93,0 - 2
20:45,EGC,QPR,Derby County,X2,37,26,37,3.25,3.45,2.40,50,50,1.83,2.02,1 - 1
20:45,EGC,Hull City,Millwall,2,17,26,57,2.48,3.35,3.25,63,37,1.72,2.10,1 - 2
20:45,EGC,Birmingham,Middlesbrough,2,13,22,65,4.30,3.50,2.04,54,46,1.66,2.36,0 - 1
20:45,EGC,Norwich City,Nottingham Forest,X2,28,28,44,1.90,3.55,4.70,59,41,1.76,2.10,0 - 0
20:45,EGC,Fulham,Sheffield United,1,70,15,14,1.92,3.70,4.50,19,81,2.06,1.82,3 - 0
20:45,CHL,Liverpool,FC Porto,1,76,10,9,1.52,4.70,7.40,9,91,2.26,1.72,0 - 0
20:45,EGC,Cardiff City,Barnsley,1X,53,24,23,1.60,4.00,6.60,50,50,1.80,2.04,2 - 1
20:45,EGC,Sunderland,Aston Villa,2X,23,28,48,4.00,3.45,2.08,63,37,1.71,2.28,0 - 3
20:45,EGC,Sheffield Wednesday,Ipswich,X2,35,31,35,2.40,3.30,3.45,68,32,1.66,2.36,1 - 2
21:00,EGC,Reading,Bolton Wanderers,X1,51,42,7,1.89,3.65,4.80,92,8,1.65,2.32,1 - 1
21:45,EG2,Accrington Stanley,Morecambe,1X,59,19,21,1.80,3.65,4.30,29,71,1.87,1.89,1 - 0
21:45,EG2,Mansfield Town,Lincoln City,1,74,14,11,2.43,3.27,3.19,26,74,1.74,2.16,1 - 1
21:45,EG2,Newport County,Forest Green Rovers,1X,63,28,9,2.22,3.45,3.44,77,23,1.74,2.16,3 - 3
21:45,EG2,Cheltenham Town,Notts County,1X,40,29,31,2.48,3.25,2.80,63,37,1.83,1.93,1 - 1
21:45,EG1,Walsall,Rochdale,1,57,26,17,2.98,3.55,2.42,63,37,1.69,2.24,0 - 3
21:45,EGC,Birmingham City,Middlesbrough,2,13,22,65,3.99,3.24,2.15,54,46,1.55,2.54,0 - 1
21:45,EGC,Burton Albion,Brentford,X2,21,39,41,4.86,3.92,1.77,85,15,2.02,1.88,0 - 2
21:45,EGC,Cardiff City,Barnsley,1X,53,24,23,1.70,3.75,5.90,50,50,1.72,2.22,2 - 1
21:45,EGC,Fulham,Sheffield United,1,70,15,14,1.92,3.97,3.98,19,81,2.13,1.78,3 - 0
21:45,EGC,Hull City,Millwall,2,17,26,57,2.27,3.34,3.52,63,37,1.68,2.28,1 - 2
21:45,EGC,Norwich City,Nottingham Forest,X2,28,28,44,1.96,3.34,4.62,59,41,1.81,2.10,0 - 0
21:45,EGC,Preston North End,Bristol City,1X,53,32,16,2.48,3.28,3.16,77,23,1.73,2.20,2 - 1
21:45,EGC,Queens Park Rangers,Derby County,X2,37,26,37,2.86,3.48,2.58,50,50,1.95,1.95,1 - 1
21:45,EGC,Sheffield Wednesday,Ipswich Town,X2,35,31,35,2.39,3.15,3.44,68,32,1.63,2.38,1 - 2
21:45,EGC,Sunderland,Aston Villa,2X,23,28,48,3.69,3.34,2.20,63,37,1.67,2.31,0 - 3
21:45,CHL,Liverpool,Porto,1,68,16,16,1.44,4.78,8.68,21,79,2.32,1.68,0 - 0
