Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
04:30,MX2,Cafetaleros de Tapachula,Universidad Guadalajara,X1,53,23,24,1.94,3.23,4.27,42,58,1.70,2.13,1 - 0
12:50,A1,Newcastle Jets,Melbourne City,X2,27,24,49,2.56,3.65,2.77,46,54,2.21,1.73,2 - 1
17:30,BG1,Septemvri Sofia,Dunav 2010,1X,53,26,21,4.35,4.00,1.62,59,41,1.83,1.98,0 - 2
17:30,BEL1,Minsk,Dinamo Brest,2,12,26,62,4.96,3.36,1.83,68,32,1.56,2.36,3 - 3
19:00,CZ1,Dukla Praha,Zbrojovka Brno,1,62,26,12,1.90,3.35,3.90,68,32,1.68,2.08,2 - 1
19:00,CZ1,Vysočina Jihlava,Mladá Boleslav,X1,40,27,33,3.25,3.00,2.30,54,46,1.95,1.80,0 - 0
19:00,CRO1,Istra 1961,Inter Zaprešić,2X,21,31,48,2.40,3.22,3.25,72,28,1.60,2.36,2 - 4
19:00,PL,Wisła Płock,Zagłębie Lubin,1X,57,23,20,1.99,3.55,4.08,46,54,1.83,2.05,1 - 2
19:00,PL,Arka Gdynia,Piast Gliwice,X1,36,28,36,2.73,3.25,2.80,59,41,1.70,2.21,1 - 5
19:30,EST1,Nõmme Kalju,Trans,1,75,11,10,1.21,6.07,13.24,10,90,2.18,1.65,5 - 2
19:30,GE2,Bochum,Erzgebirge Aue,X1,40,27,33,1.75,3.70,4.40,54,46,1.86,1.89,2 - 1
19:30,GE2,Arminia Bielefeld,Kaiserslautern,2X,29,22,49,1.65,3.85,4.90,32,68,2.04,1.74,3 - 2
19:45,BEL1,Gomel,Isloch,2,6,25,70,2.70,2.70,3.28,74,26,1.33,3.00,1 - 2
20:00,ITB,Venezia,Palermo,1X,57,23,20,2.50,3.00,3.00,46,54,1.56,2.46,3 - 0
20:00,DN1,Horsens,København,2,19,24,57,6.31,4.35,1.56,54,46,2.12,1.72,2 - 3
20:00,BG1,Vereya,Ludogorets,2,8,13,78,13.00,7.50,1.13,29,71,2.75,1.42,0 - 3
20:00,TR,Göztepe,Karabükspor,1,62,26,12,1.20,7.73,14.69,68,32,2.85,1.40,5 - 0
20:00,SW1,AIK,Sirius,1,59,19,22,1.43,4.67,8.76,24,76,1.86,1.96,2 - 0
20:00,SW2,GAIS,Gefle,2X,25,22,53,1.73,3.92,5.06,35,65,1.98,1.82,0 - 0
20:00,BH1,Zeljeznicar,Zrinjski,X1,46,23,32,2.14,3.00,3.00,35,65,1.68,2.06,2 - 2
20:45,PL1,Odra Opole,Chrobry Głogów,2X,26,30,44,2.46,3.31,3.06,68,32,1.74,2.14,1 - 1
20:45,RO1,Voluntari,Juventus Bucureşti,1X,48,31,21,1.84,3.58,4.81,72,28,1.64,2.32,0 - 1
21:00,FR2,Bourg-en-Bresse,Brest,X1,53,23,24,3.20,3.45,2.10,42,58,2.18,1.64,2 - 4
21:00,FR2,Châteauroux,Auxerre,X,40,21,40,1.57,3.90,5.25,24,76,2.08,1.71,1 - 2
21:00,FR2,Gazélec Ajaccio,Orléans,X2,35,23,42,2.05,3.25,3.50,39,61,1.72,2.07,1 - 0
21:00,FR2,Le Havre,Ajaccio,X2,33,27,40,2.30,2.88,3.45,54,46,1.57,2.33,2 - 0
21:00,FR2,Nancy,Tours,2X,25,26,49,1.45,4.10,6.40,54,46,1.96,1.80,3 - 1
21:00,FR2,Quevilly Rouen,Valenciennes,1X,44,30,26,1.70,3.75,4.35,68,32,2.14,1.67,2 - 2
21:00,FR2,Reims,Niort,1X,60,20,20,1.38,4.50,7.00,35,65,2.08,1.70,3 - 1
21:00,FR2,Sochaux,Lorient,X1,49,23,28,2.50,3.25,2.70,39,61,1.96,1.80,0 - 2
21:30,BL1,Genk,Club Brugge,1,73,19,8,2.51,3.56,2.85,54,46,2.16,1.74,1 - 1
21:30,WAL1,Aberystwyth Town,Newtown,2X,30,21,49,2.20,3.70,2.75,26,74,2.16,1.62,5 - 3
21:30,WAL1,Bala Town,Bangor City,X2,27,37,37,2.70,3.60,2.30,81,19,2.00,1.72,1 - 2
21:30,WAL1,Barry Town United,Carmarthen Town,X1,39,22,39,2.38,3.40,2.65,29,71,1.85,1.85,1 - 0
21:30,WAL1,Cefn Druids,Connah's Quay,X1,40,27,33,3.70,3.40,1.90,54,46,1.68,2.06,2 - 0
21:30,WAL1,Prestatyn Town,Llandudno,2X,11,32,58,3.90,3.60,1.80,81,19,2.20,1.58,0 - 0
21:30,WAL1,The New Saints,Cardiff MU,1,79,12,7,1.19,6.10,10.50,26,74,2.85,1.39,3 - 3
21:30,GE1,Hoffenheim,Hannover 96,1,81,12,6,1.54,4.40,5.75,32,68,2.70,1.48,3 - 1
21:30,PL,Legia Warszawa,Korona Kielce,X2,38,24,38,1.48,4.42,7.79,42,58,1.97,1.91,3 - 1
21:45,EGC,Fulham,Sunderland,X1,49,23,28,1.25,6.00,10.00,39,61,2.87,1.39,2 - 1
21:45,FR1,Montpellier,Saint-Étienne,X2,38,24,38,2.36,3.26,3.29,42,58,1.62,2.40,0 - 1
21:45,PL1,Zagłębie Sosnowiec,Stal Mielec,1X,49,22,29,2.05,3.42,3.92,32,68,1.74,2.13,3 - 1
21:45,SCP,Aberdeen,Hearts,1,65,22,13,1.61,4.01,6.43,54,46,1.80,2.00,2 - 0
22:00,ITB,Bari 1908,Virtus Entella,1,67,25,8,1.73,3.44,6.22,72,28,1.63,2.33,1 - 0
22:00,SP1,Levante,Sevilla,1X,48,28,23,3.67,3.62,2.10,63,37,2.00,1.88,2 - 1
22:00,SP2,Reus Deportiu,Real Zaragoza,X2,30,26,45,2.75,3.00,2.75,50,50,1.45,2.65,1 - 1
22:30,PR1,Vitória Guimarães,Moreirense,1X,49,26,25,1.92,3.30,4.00,54,46,1.87,1.88,1 - 0
