Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
01:00,AR1,Unión Santa Fe,Talleres Córdoba,1X,53,24,23,2.39,3.10,3.51,50,50,1.43,2.89,3 - 0
02:00,BRA,América Mineiro,Vitória,X2,33,27,40,2.06,3.25,4.22,54,46,1.63,2.36,2 - 1
02:00,BRA,Palmeiras,Chapecoense,1X,59,19,21,1.31,5.34,10.90,29,71,1.85,1.90,0 - 0
03:15,AR1,Olimpo,Tigre,X2,29,32,38,4.28,3.73,1.91,72,28,1.98,1.92,1 - 5
03:15,BRC,Botafogo PB,Confiança,X1,41,25,34,2.05,3.40,3.38,46,54,1.83,1.95,2 - 0
13:00,EST1,Tammeka,Kuressaare,1,65,21,15,1.19,6.73,12.97,46,54,3.90,1.22,1 - 2
13:30,ITB,Avellino,Cittadella,X1,40,27,33,2.57,3.28,2.99,54,46,1.78,1.98,0 - 2
16:00,ITB,Virtus Entella,Ascoli,1X,48,31,21,2.08,3.34,4.01,72,28,1.71,2.08,1 - 1
16:00,ITB,Pescara,Cesena,1X,38,32,29,2.08,3.12,4.37,72,28,1.95,1.93,0 - 0
16:00,ITB,Carpi,Empoli,2,13,19,68,3.90,3.59,2.02,42,58,1.74,2.04,0 - 0
16:00,ITB,Brescia,Frosinone,1X,48,31,21,3.32,3.42,2.29,72,28,1.79,1.97,1 - 2
16:00,ITB,Cremonese,Novara,X1,41,39,21,2.56,2.79,3.57,85,15,1.46,2.71,1 - 1
16:00,ITB,Foggia,Spezia,X1,45,26,30,1.92,3.63,4.30,50,50,1.86,1.89,2 - 1
16:00,ITB,Parma,Ternana,X1,46,23,32,1.51,4.38,7.29,35,65,2.04,1.73,2 - 0
16:00,ITB,Pro Vercelli,Venezia,2X,19,29,53,2.66,3.26,2.88,68,32,1.79,1.97,0 - 2
16:00,EST1,Trans,Levadia,2,8,11,78,9.50,5.10,1.21,16,84,2.48,1.49,1 - 1
16:00,SW2,Norrby,Jönköpings Södra,1X,40,29,31,2.81,3.43,2.61,63,37,1.85,1.95,1 - 2
16:00,SW2,Halmstad,Falkenberg,2X,25,26,49,2.28,3.58,3.20,54,46,1.98,1.83,1 - 1
19:00,ITB,Perugia,Salernitana,1,61,22,17,1.65,4.01,5.64,50,50,1.94,1.81,1 - 1
21:45,EG1,Bradford City,Walsall,1X,38,32,29,2.15,3.21,3.96,72,28,1.73,2.18,1 - 1
21:45,EG1,Doncaster Rovers,AFC Wimbledon,X1,41,25,34,2.28,3.24,3.53,46,54,1.70,2.22,0 - 0
21:45,EG1,Scunthorpe United,Plymouth Argyle,1X,38,32,29,1.83,3.60,4.84,72,28,1.88,2.00,2 - 0
21:45,EG2,Chesterfield,Newport County,1,62,26,12,2.80,3.55,2.56,68,32,2.04,1.84,1 - 0
21:45,CHL,Real Madrid,Bayern München,X2,40,19,40,2.41,4.11,2.77,16,84,3.25,1.36,2 - 2
22:00,BRB,Criciúma,CSA,X2,29,32,38,1.79,3.20,4.20,72,28,1.62,2.23,1 - 3
22:00,BRB,Boa,Juventude,1X,58,29,14,2.30,2.90,3.00,72,28,1.41,2.80,1 - 2
22:30,BRB,Brasil de Pelotas,Figueirense,1X,53,24,23,2.17,2.90,3.25,50,50,1.41,2.80,1 - 0
22:30,BRB,Londrina,Fortaleza,X2,33,27,40,2.30,3.00,2.90,54,46,1.50,2.48,1 - 1
