Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
12:50,A1,Sydney,Melbourne Victory,1X,63,19,18,2.12,4.01,3.23,32,68,2.43,1.60,1 - 0
17:00,CRO1,Osijek,Istra 1961,1,75,16,9,1.33,5.34,10.46,42,58,2.00,1.72,2 - 0
17:30,BG1,Cherno More,Vitosha Bistritsa,X1,51,42,7,1.25,5.00,9.00,92,8,2.29,1.60,2 - 0
17:45,BEL1,Luch Minsk,Vitebsk,2X,7,28,65,2.90,2.95,2.30,79,21,1.65,2.10,0 - 2
18:00,TR1,İstanbulspor,Gaziantepspor,1,66,23,11,1.08,10.00,15.00,63,37,2.75,1.40,4 - 0
19:00,CZ1,Slavia Praha,Karviná,1X,60,20,20,1.15,6.25,17.00,35,65,2.23,1.60,3 - 2
19:00,CZ1,Vysočina Jihlava,Zlín,1X,53,26,21,2.60,3.15,2.70,59,41,1.92,1.82,1 - 1
19:00,CZ1,Teplice,Mladá Boleslav,X1,36,28,36,2.25,3.20,3.15,59,41,1.76,1.98,1 - 1
19:00,CRO1,Rudeš,Rijeka,X2,31,24,45,5.10,3.85,1.50,42,58,1.90,1.80,4 - 2
19:00,LAT1,Metta / LU,Riga,X2,31,29,40,4.50,3.65,1.62,63,37,1.75,1.96,0 - 1
19:00,PL,Arka Gdynia,Lechia Gdańsk,1,65,22,13,2.50,3.31,3.04,54,46,1.81,2.08,1 - 2
19:30,EST1,Tallinna Kalev,Paide,X1,45,24,31,2.39,3.60,2.72,42,58,2.47,1.48,2 - 3
19:30,RU1,Akhmat Grozny,Tosno,X1,34,42,23,1.80,3.25,5.00,89,11,1.61,2.23,1 - 0
19:30,GE2,Greuther Fürth,Jahn Regensburg,X1,40,27,33,2.41,3.55,3.00,54,46,2.00,1.76,1 - 2
19:30,GE2,Bochum,Kaiserslautern,2,15,21,65,1.75,3.60,4.59,46,54,1.94,1.82,3 - 2
19:45,BEL1,Shakhtyor,Slutsk,1,62,26,12,1.46,3.91,9.69,68,32,1.67,2.07,0 - 1
20:00,ITB,Foggia,Ascoli,1,62,24,15,1.75,3.75,5.15,59,41,1.92,1.83,3 - 0
20:00,DN1,AGF,FC Helsingør,2X,23,28,48,1.47,4.54,7.65,63,37,2.07,1.76,2 - 1
20:00,BG1,OFK Pirin,Slavia Sofia,1X,38,32,29,2.67,3.07,2.74,72,28,1.51,2.41,2 - 5
20:00,TR,Akhisar Belediyespor,Beşiktaş,X2,33,27,40,6.70,4.76,1.49,54,46,2.35,1.57,0 - 3
20:00,SW1,GIF Sundsvall,Malmö FF,2,13,19,68,6.59,4.42,1.53,42,58,2.10,1.75,2 - 2
20:00,SW1,Trelleborg,Örebro,X2,29,32,38,2.61,3.41,2.83,72,28,1.84,2.04,1 - 2
20:45,RO1,Voluntari,Dinamo Bucureşti,2,17,22,61,3.50,3.45,2.20,50,50,1.78,2.11,2 - 4
21:00,FR2,Ajaccio,Nancy,1,76,17,7,1.95,3.20,3.90,50,50,1.60,2.25,2 - 0
21:00,FR2,Auxerre,Clermont,1,60,21,18,2.60,3.10,2.70,42,58,1.72,2.06,1 - 2
21:00,FR2,Le Havre,Gazélec Ajaccio,1X,42,34,24,1.85,3.20,4.35,77,23,1.57,2.33,2 - 1
21:00,FR2,Nîmes,Sochaux,1X,53,26,21,1.55,4.10,5.00,59,41,2.20,1.63,0 - 2
21:00,FR2,Niort,Lens,X2,31,29,40,2.63,3.10,2.65,63,37,1.72,2.07,2 - 2
21:00,FR2,Orléans,Quevilly Rouen,X2,24,23,53,2.50,3.15,2.80,42,58,1.85,1.90,2 - 1
21:00,FR2,Tours,Châteauroux,1X,48,28,23,2.65,3.15,2.62,63,37,1.80,1.96,0 - 1
21:00,FR2,Valenciennes,Bourg-en-Bresse,1X,38,32,29,2.40,3.30,2.80,72,28,1.86,1.89,2 - 2
21:00,NT1,Heracles,AZ,2,19,18,62,6.80,5.25,1.44,26,74,3.10,1.37,0 - 3
21:00,NT2,FC Volendam,RKC Waalwijk,1,83,12,5,1.50,4.76,6.61,39,61,2.70,1.44,0 - 1
21:00,NT2,FC Dordrecht,SC Cambuur,X1,46,23,32,3.17,3.80,2.22,35,65,2.54,1.53,0 - 3
21:00,NT2,Go Ahead Eagles,FC Eindhoven,1X,38,32,29,1.98,4.12,3.55,72,28,2.95,1.37,1 - 3
21:00,NT2,Fortuna Sittard,FC Den Bosch,1,69,20,11,1.39,5.38,7.98,50,50,2.88,1.38,2 - 0
21:00,NT2,Jong Ajax,FC Emmen,X2,34,25,41,1.58,4.59,5.56,46,54,3.05,1.35,3 - 2
21:00,NT2,FC Oss,Graafschap,X2,34,19,46,3.78,4.08,1.93,16,84,3.05,1.35,1 - 4
21:00,NT2,Almere City,Jong PSV,X2,39,23,39,2.24,3.98,3.00,35,65,3.25,1.32,2 - 1
21:00,NT2,Telstar,Jong Utrecht,1X,57,22,22,1.51,4.79,6.26,39,61,3.05,1.35,1 - 0
21:00,NT2,Helmond Sport,NEC,1X,56,20,23,8.68,5.51,1.36,32,68,2.70,1.44,1 - 2
21:00,NT2,Jong AZ,MVV Maastricht,1X,49,22,29,2.98,3.82,2.31,32,68,2.70,1.44,3 - 1
21:30,GE1,Wolfsburg,Augsburg,X2,33,34,33,2.09,3.44,3.90,77,23,1.68,2.20,0 - 0
21:30,PL,Lech Poznań,Korona Kielce,1,67,15,17,1.36,4.75,8.50,17,83,1.97,1.91,0 - 1
21:30,BL1,Sporting Charleroi,Genk,X2,28,28,44,2.51,3.20,3.14,59,41,1.72,2.12,2 - 2
21:45,EGC,Aston Villa,Leeds United,1,60,21,18,1.55,4.38,6.59,42,58,2.15,1.77,1 - 0
21:45,FR1,Angers SCO,Nice,2X,25,22,53,2.88,3.25,2.70,35,65,1.58,2.35,1 - 1
21:45,WAL1,Bala Town,The New Saints,2,17,22,61,5.40,4.10,1.50,50,50,2.43,1.50,1 - 4
21:45,WAL1,Prestatyn Town,Aberystwyth Town,X2,18,35,47,6.10,4.10,1.45,81,19,2.43,1.50,0 - 1
22:00,ITB,Parma,Cittadella,1X,56,20,23,1.87,3.34,5.10,32,68,1.66,2.16,0 - 0
22:00,SP1,Girona,Real Betis,1,59,19,22,2.00,3.39,3.79,24,76,2.07,1.72,0 - 1
22:30,PR1,Paços de Ferreira,Sporting Braga,2,7,11,79,4.50,3.40,1.80,19,81,1.90,1.85,1 - 5
