Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
00:00,MX1,Cruz Azul,Necaxa,,0,0,0, , , ,0,0, , ,0 - 2
00:00,MX1,Lobos BUAP,Atlas,,0,0,0, , , ,0,0, , ,3 - 1
00:15,AR1,Olimpo,Racing Club,X2,29,32,38,3.74,3.32,2.19,72,28,1.66,2.31,1 - 2
01:00,MX1,Lobos BUAP,Atlas,X1,36,28,36,2.32,3.55,3.21,59,41,1.98,1.92,3 - 1
01:00,MX1,Cruz Azul,Necaxa,2X,16,32,53,1.83,3.61,4.99,77,23,1.65,2.34,0 - 2
01:30,AR1,Independiente,San Lorenzo,X2,27,24,49, , , ,46,54,1.14,1.38,
01:30,CL,Deportes Temuco,Univ. Concepción,2,17,26,57,2.00,3.54,4.03,63,37,1.63,2.18,1 - 1
02:00,MX1,Tigres,CF America,,0,0,0, , , ,0,0, , ,1 - 1
02:00,MX2,Alebrijes De Oaxaca,Venados FC,,0,0,0, , , ,0,0, , ,1 - 0
02:00,MX2,Celaya,Zacatepec,,0,0,0, , , ,0,0, , ,0 - 1
02:06,MX1,Leon,Puebla,,0,0,0, , , ,0,0, , ,2 - 1
03:00,MX2,Alebrijes de Oaxaca,Venados,1,68,19,13,1.98,3.20,3.25,42,58,1.80,1.90,1 - 0
03:00,MX2,Celaya,Atlético Zacatepec,1,57,24,19,1.90,3.20,3.45,54,46,1.80,1.90,0 - 1
03:00,MX1,Tigres UANL,América,1,74,20,6,1.88,3.58,4.70,63,37,1.70,2.25,1 - 1
03:06,MX1,León,Puebla,1,74,20,6,2.06,3.62,3.79,63,37,2.04,1.86,2 - 1
04:00,MX2,Dorados,Tampico Madero,,0,0,0, , , ,0,0, , ,1 - 0
04:06,MX1,CD Guadalajara,Santos,,0,0,0, , , ,0,0, , ,0 - 2
05:00,MX2,Dorados,Tampico Madero,1X,47,35,18,2.23,3.15,2.80,81,19,1.72,2.00,1 - 0
05:06,MX1,Guadalajara,Santos Laguna,X2,37,26,37,2.25,3.48,3.41,50,50,1.85,2.05,0 - 2
09:00,A1,Western Sydney,Wellington Phoenix,X2,30,39,30,1.98,3.85,3.65,85,15,2.38,1.60,4 - 0
10:00,A1,Western Sydney Wanderers,Wellington Phoenix,X1,37,37,27,1.95,3.75,3.70,81,19,2.33,1.60,4 - 0
12:00,TR1,İstanbulspor,Ümraniyespor,1,61,22,17,2.25,3.05,2.95,50,50,1.56,2.25,2 - 1
12:00,TR1,Samsunspor,BB Erzurumspor,1X,53,26,21,2.70,3.15,2.38,59,41,1.65,2.10,1 - 0
12:30,ITA,Sassuolo,Cagliari,X2,24,34,42,2.14,3.35,3.75,77,23,1.81,2.10,0 - 0
12:30,NT1,Ajax,FC Twente,1,78,12,8,1.12,9.80,24.00,21,79,3.40,1.23,2 - 1
12:30,TR,Kayserispor,Sivasspor,X2,29,32,38,2.17,3.44,3.59,72,28,1.74,2.04,1 - 1
12:30,TR,Akhisar Belediyespor,Bursaspor,2X,26,30,44,2.33,3.32,3.31,68,32,1.83,1.93,1 - 0
13:00,EGC,Aston Villa,Birmingham,1,62,18,19,1.76,3.45,5.90,26,74,1.65,2.34,2 - 0
13:00,EGP,Huddersfield,Bournemouth,2X,23,28,48,3.30,3.15,2.44,63,37,1.67,2.36,4 - 1
13:00,SP2,Albacete,Gimnàstic Tarragona,X1,41,25,34,1.88,3.30,4.25,46,54,1.58,2.42,0 - 1
13:00,SP1,Sevilla,Girona,1X,53,24,23,1.60,4.00,6.00,50,50,2.10,1.76,1 - 0
13:15,PR2,Gil Vicente,Académica,2,5,17,77,3.60,3.15,2.00,59,41,1.52,2.35,0 - 4
13:30,GE2,Erzgebirge Aue,Ingolstadt,2X,23,24,53,4.80,3.50,1.87,50,50,1.77,2.20,0 - 0
13:30,GE2,Greuther Fuerth,Dynamo Dresden,1,57,24,19,2.74,3.40,2.74,54,46,1.98,1.94,1 - 0
13:30,GE2,Sandhausen,Eintracht Braunschweig,X1,41,25,34,2.50,3.05,3.25,46,54,1.62,2.50,0 - 0
13:30,ITA,Sassuolo,Cagliari,X2,24,34,42,2.13,3.35,3.87,77,23,1.79,2.02,0 - 0
13:30,NT1,Ajax,FC Twente,1,78,12,8,1.15,9.30,18.50,21,79, , ,2 - 1
14:00,DN1,Odense,FC Helsingoer,1,67,25,8,1.75,3.70,5.30,72,28,1.87,2.04,6 - 1
14:00,GR1,Apollon Smirnis,Levadiakos,1X,58,32,11,1.71,3.45,6.20,81,19,1.56,2.58,1 - 1
14:00,EGC,Aston Villa,Birmingham City,1,62,18,19,1.80,3.35,5.10,26,74,1.65,2.33,2 - 0
14:00,EGP,Huddersfield Town,AFC Bournemouth,2X,23,28,48,3.20,3.30,2.45,63,37,1.67,2.23,4 - 1
14:30,NT1,Vitesse,Feyenoord,2X,29,22,49,3.80,3.50,2.08,32,68,1.97,1.97,3 - 1
14:30,BL1,Waasland-Beveren,Club Brugge,X1,53,23,24,4.30,4.00,1.78,42,58,2.74,1.52,1 - 1
14:30,NT1,Excelsior,NAC Breda,1X,53,32,16,2.48,3.40,2.98,77,23,2.02,1.90,0 - 0
14:30,TR1,Eskişehirspor,Giresunspor,1X,59,19,21,2.48,3.15,2.55,29,71,1.96,1.75,3 - 1
