Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
15:00,RU2,Sibir,Shinnik,1X,49,23,28, , , ,39,61, , ,3 - 0
15:00,RU2,Spartak Moskva II,Tom' Tomsk,2X,23,28,48, , , ,63,37, , ,2 - 1
15:00,RU2,Yenisey,Olimpiyets,1X,49,26,25, , , ,54,46, , ,1 - 0
16:00,RU2,Orenburg,Volgar Astrakhan,1,77,15,8, , , ,39,61, , ,3 - 0
17:00,RU2,Tyumen,Dinamo St. Petersburg,1X,58,29,14, , , ,72,28, , ,1 - 1
17:00,RU2,Zenit II,Luch Vladivostok,X2,21,39,41, , , ,85,15, , ,1 - 2
18:00,PR2,Santa Clara,Arouca,X,40,21,40,2.28,3.06,3.70,24,76,1.45,2.55,0 - 0
18:00,PR2,Gil Vicente,Sporting Braga II,X2,24,34,42,2.25,3.00,3.50,77,23,1.61,2.25,1 - 2
18:00,PR2,Real,Sporting Covilhã,1,69,20,11,2.51,3.14,3.15,50,50,1.61,2.25,3 - 0
18:00,PR2,Sporting CP II,Famalicão,1,72,24,4,2.60,3.00,2.60,77,23,1.85,2.01,1 - 1
18:00,PR2,Cova Piedade,Oliveirense,1X,45,24,31,2.35,3.00,3.25,42,58,1.61,2.25,3 - 2
18:00,PR2,Vitória Guimarães II,Penafiel,X2,28,23,49,2.91,3.27,2.59,39,61,1.87,1.99,1 - 1
18:00,PR2,Varzim,Academico Viseu,X2,32,23,46,2.88,3.09,2.74,35,65,1.54,2.30,0 - 1
18:00,PL1,Wigry Suwałki,Puszcza Niepołomice,1X,53,24,23,2.00,3.25,3.40,50,50,1.50,2.40,1 - 0
18:00,RU2,Fakel,Kuban' Krasnodar,1X,6,37,57, , , ,89,11, , ,0 - 2
18:30,RU2,Tambov,Khimki,1,70,21,9, , , ,59,41, , ,2 - 0
19:00,PR2,Benfica II,Leixões,1X,49,23,28,2.65,3.33,2.80,39,61,2.02,1.83,1 - 2
19:00,PL1,Ruch Chorzów,Chojniczanka Chojnice,1X,37,26,37,3.75,3.00,2.00,50,50,1.61,2.25,1 - 1
19:00,PL1,Podbeskidzie,Tychy 71,X2,27,37,37,2.25,3.20,2.95,81,19,1.54,2.30,1 - 1
19:00,PL1,Bytovia Bytów,Górnik Łęczna,1X,34,42,23,2.39,3.10,2.79,89,11,1.60,2.29,2 - 1
19:00,RU2,Rotor Volgograd,Avangard Kursk,2,15,24,62, , , ,59,41, , ,1 - 1
19:00,HU1,Honvéd,Videoton,X1,46,23,32,3.51,3.54,2.09,35,65,1.99,1.83,1 - 4
19:30,PL1,Chrobry Głogów,Pogoń Siedlce,1X,42,23,35,1.95,3.40,3.40,39,61,1.61,2.25,3 - 1
19:30,NO1,Sandefjord,Ranheim,1X,60,32,8,2.00,3.50,3.60,83,17,2.07,1.72,1 - 2
19:30,NO1,Tromsø,Strømsgodset,X2,34,19,46,2.20,3.29,3.20,16,84,2.14,1.72,3 - 1
19:45,HE1,Basel,Zürich,X1,45,24,31,1.47,4.53,7.66,42,58,2.16,1.74,3 - 0
20:00,PL1,Stomil Olsztyn,Olimpia Grudziądz,X2,30,39,30,2.60,2.90,2.70,85,15,1.54,2.30,1 - 1
20:00,PL1,Stal Mielec,Miedź Legnica,1X,49,23,28,3.93,3.31,2.09,39,61,1.65,2.26,1 - 1
20:00,PL1,Zagłębie Sosnowiec,Raków Częstochowa,1X,46,21,33,2.30,3.38,3.28,29,71,1.67,2.07,2 - 0
20:00,SW2,Värnamo,GAIS,1,84,12,3,3.87,3.65,2.01,46,54,2.00,1.80,1 - 2
21:00,RU2,Baltika,Krylya Sovetov,1X,39,22,39,2.70,2.65,2.55,29,71,1.41,2.70,1 - 0
21:15,PR2,União Madeira,Nacional,2,3,10,86,3.81,3.39,2.09,42,58,2.01,1.85,1 - 3
21:45,EGC,Wolverhampton Wanderers,Derby County,1,73,16,10,1.64,3.93,6.27,35,65,1.80,2.11,2 - 0
21:45,CHL,Bayern München,Sevilla,1,74,13,11,1.25,6.85,12.65,16,84,3.15,1.38,0 - 0
21:45,CHL,Real Madrid,Juventus,1,69,16,14,1.62,4.45,5.50,26,74,2.37,1.63,1 - 3
21:45,EG1,Oldham Athletic,Walsall,X1,36,28,36,1.91,3.68,4.26,59,41,1.91,1.97,1 - 1
